DATE,Completion,pet,gas,agua,FirstDate,ProdTotalDaysCum
1/01/1969,AL-1:A,2045,3078,124,1/04/1964,1767
1/02/1969,AL-1:A,1724,2448,112,1/04/1964,1795
1/03/1969,AL-1:A,1770,3165,124,1/04/1964,1826
1/04/1969,AL-1:A,1701,2797,120,1/04/1964,1856
1/05/1969,AL-1:A,1688,3406,93,1/04/1964,1887
1/06/1969,AL-1:A,1601,2516,120,1/04/1964,1917
1/07/1969,AL-1:A,1628,1057,124,1/04/1964,1948
1/08/1969,AL-1:A,1530,3643,124,1/04/1964,1979
1/09/1969,AL-1:A,1561,6343,120,1/04/1964,2009
1/10/1969,AL-1:A,1392,6401,124,1/04/1964,2040
1/11/1969,AL-1:A,1109,10622,120,1/04/1964,2070
1/12/1969,AL-1:A,950,1740,124,1/04/1964,2101
1/01/1970,AL-1:A,,,,1/04/1964,2101
1/02/1970,AL-1:A,106,67,8,1/04/1964,2129
1/03/1970,AL-1:A,,,,1/04/1964,2129
1/04/1970,AL-1:A,633,267,,1/04/1964,2159
1/05/1970,AL-1:A,2110,1374,155,1/04/1964,2190
1/06/1970,AL-1:A,1456,2253,150,1/04/1964,2220
1/07/1970,AL-1:A,1953,2386,93,1/04/1964,2251
1/08/1970,AL-1:A,,,,1/04/1964,2251
1/09/1970,AL-1:A,1612,1889,60,1/04/1964,2281
1/10/1970,AL-1:A,1832,2390,186,1/04/1964,2312
1/11/1970,AL-1:A,1613,1595,90,1/04/1964,2342
1/12/1970,AL-1:A,1590,1591,124,1/04/1964,2373
1/01/1971,AL-1:A,1433,1761,93,1/04/1964,2404
1/02/1971,AL-1:A,1080,1117,196,1/04/1964,2432
1/03/1971,AL-1:A,1194,1753,155,1/04/1964,2463
1/04/1971,AL-1:A,1049,1320,108,1/04/1964,2493
1/05/1971,AL-1:A,1246,1589,186,1/04/1964,2524
1/06/1971,AL-1:A,1287,1483,180,1/04/1964,2554
1/07/1971,AL-1:A,1263,1431,145,1/04/1964,2585
1/08/1971,AL-1:A,578,490,90,1/04/1964,2616
1/09/1971,AL-1:A,,,,1/04/1964,2616
1/10/1971,AL-1:A,1364,1279,217,1/04/1964,2647
1/11/1971,AL-1:A,845,1136,234,1/04/1964,2677
1/12/1971,AL-1:A,535,557,45,1/04/1964,2708
1/01/1972,AL-1:A,832,1158,155,1/04/1964,2739
1/02/1972,AL-1:A,995,1211,145,1/04/1964,2768
1/03/1972,AL-1:A,558,543,60,1/04/1964,2799
1/04/1972,AL-1:A,823,1007,145,1/04/1964,2829
1/05/1972,AL-1:A,1356,2954,155,1/04/1964,2860
1/06/1972,AL-1:A,741,2364,150,1/04/1964,2890
1/07/1972,AL-1:A,1179,4780,124,1/04/1964,2921
1/08/1972,AL-1:A,702,3058,93,1/04/1964,2952
1/09/1972,AL-1:A,525,3121,112,1/04/1964,2982
1/10/1972,AL-1:A,601,4206,124,1/04/1964,3013
1/11/1972,AL-1:A,712,4034,60,1/04/1964,3043
1/12/1972,AL-1:A,490,3690,120,1/04/1964,3074
1/01/1973,AL-1:A,550,4195,125,1/04/1964,3105
1/02/1973,AL-1:A,698,1541,136,1/04/1964,3133
1/03/1973,AL-1:A,1029,2373,248,1/04/1964,3164
1/04/1973,AL-1:A,701,1205,150,1/04/1964,3194
1/05/1973,AL-1:A,820,2274,186,1/04/1964,3225
1/06/1973,AL-1:A,1343,2651,450,1/04/1964,3255
1/07/1973,AL-1:A,620,3256,120,1/04/1964,3286
1/08/1973,AL-1:A,594,3902,155,1/04/1964,3317
1/09/1973,AL-1:A,634,3233,150,1/04/1964,3347
1/10/1973,AL-1:A,,,,1/04/1964,3347
1/11/1973,AL-1:A,,,,1/04/1964,3347
1/12/1973,AL-1:A,,,,1/04/1964,3347
1/01/1974,AL-1:A,479,6621,29,1/04/1964,3378
1/02/1974,AL-1:A,276,7835,,1/04/1964,3406
1/03/1974,AL-1:A,522,3513,54,1/04/1964,3437
1/04/1974,AL-1:A,877,5718,60,1/04/1964,3467
1/05/1974,AL-1:A,907,5061,31,1/04/1964,3498
1/06/1974,AL-1:A,1029,5587,84,1/04/1964,3528
1/07/1974,AL-1:A,802,3790,93,1/04/1964,3559
1/08/1974,AL-1:A,727,5964,135,1/04/1964,3590
1/09/1974,AL-1:A,751,12021,120,1/04/1964,3620
1/10/1974,AL-1:A,879,6862,93,1/04/1964,3651
1/11/1974,AL-1:A,539,6209,60,1/04/1964,3681
1/12/1974,AL-1:A,349,8414,90,1/04/1964,3712
1/01/1975,AL-1:A,945,4231,87,1/04/1964,3743
1/02/1975,AL-1:A,634,4404,81,1/04/1964,3771
1/03/1975,AL-1:A,587,4446,124,1/04/1964,3802
1/04/1975,AL-1:A,742,4527,90,1/04/1964,3832
1/05/1975,AL-1:A,840,3331,112,1/04/1964,3863
1/06/1975,AL-1:A,575,2284,85,1/04/1964,3893
1/07/1975,AL-1:A,1027,4654,310,1/04/1964,3924
1/08/1975,AL-1:A,896,5753,155,1/04/1964,3955
1/09/1975,AL-1:A,1079,5034,90,1/04/1964,3985
1/10/1975,AL-1:A,821,5695,145,1/04/1964,4016
1/11/1975,AL-1:A,528,4889,84,1/04/1964,4046
1/12/1975,AL-1:A,304,2055,63,1/04/1964,4077
1/01/1976,AL-1:A,951,8289,330,1/04/1964,4108
1/02/1976,AL-1:A,880,7628,87,1/04/1964,4137
1/03/1976,AL-1:A,711,7654,90,1/04/1964,4168
1/04/1976,AL-1:A,934,7251,150,1/04/1964,4198
1/05/1976,AL-1:A,785,7180,93,1/04/1964,4229
1/06/1976,AL-1:A,779,6696,120,1/04/1964,4259
1/07/1976,AL-1:A,700,6835,62,1/04/1964,4290
1/08/1976,AL-1:A,747,6598,93,1/04/1964,4321
1/09/1976,AL-1:A,523,7952,,1/04/1964,4351
1/10/1976,AL-1:A,954,9245,,1/04/1964,4382
1/11/1976,AL-1:A,654,8833,,1/04/1964,4412
1/12/1976,AL-1:A,498,7651,,1/04/1964,4443
1/01/1977,AL-1:A,545,8110,90,1/04/1964,4474
1/02/1977,AL-1:A,372,5314,,1/04/1964,4502
1/03/1977,AL-1:A,544,4743,52,1/04/1964,4533
1/04/1977,AL-1:A,568,5212,,1/04/1964,4563
1/05/1977,AL-1:A,384,7002,31,1/04/1964,4594
1/06/1977,AL-1:A,428,8117,30,1/04/1964,4624
1/07/1977,AL-1:A,399,5545,,1/04/1964,4655
1/08/1977,AL-1:A,507,7625,52,1/04/1964,4686
1/09/1977,AL-1:A,349,4958,60,1/04/1964,4716
1/10/1977,AL-1:A,393,5336,,1/04/1964,4747
1/11/1977,AL-1:A,574,9364,,1/04/1964,4777
1/12/1977,AL-1:A,491,7760,60,1/04/1964,4808
1/01/1978,AL-1:A,232,4200,,1/04/1964,4839
1/02/1978,AL-1:A,393,3261,27,1/04/1964,4867
1/03/1978,AL-1:A,533,3999,,1/04/1964,4898
1/04/1978,AL-1:A,194,1899,,1/04/1964,4928
1/05/1978,AL-1:A,237,2660,,1/04/1964,4959
1/06/1978,AL-1:A,228,1364,,1/04/1964,4989
1/07/1978,AL-1:A,243,1719,,1/04/1964,5020
1/08/1978,AL-1:A,473,3293,,1/04/1964,5051
1/09/1978,AL-1:A,588,4565,140,1/04/1964,5081
1/10/1978,AL-1:A,712,5956,,1/04/1964,5112
1/11/1978,AL-1:A,545,4536,,1/04/1964,5142
1/12/1978,AL-1:A,641,5079,54,1/04/1964,5173
1/01/1979,AL-1:A,472,2295,62,1/04/1964,5204
1/02/1979,AL-1:A,334,2641,130,1/04/1964,5232
1/03/1979,AL-1:A,111,974,10,1/04/1964,5263
1/04/1979,AL-1:A,893,4774,232,1/04/1964,5293
1/05/1979,AL-1:A,935,7042,186,1/04/1964,5324
1/06/1979,AL-1:A,502,3667,120,1/04/1964,5354
1/07/1979,AL-1:A,277,1322,62,1/04/1964,5385
1/08/1979,AL-1:A,465,2936,115,1/04/1964,5416
1/09/1979,AL-1:A,490,2573,145,1/04/1964,5446
1/10/1979,AL-1:A,415,2260,90,1/04/1964,5477
1/11/1979,AL-1:A,389,3295,87,1/04/1964,5507
1/12/1979,AL-1:A,349,1221,60,1/04/1964,5538
1/01/1980,AL-1:A,441,2896,62,1/04/1964,5569
1/02/1980,AL-1:A,146,970,20,1/04/1964,5598
1/03/1980,AL-1:A,444,3554,58,1/04/1964,5629
1/04/1980,AL-1:A,447,3090,60,1/04/1964,5659
1/05/1980,AL-1:A,444,2627,60,1/04/1964,5690
1/06/1980,AL-1:A,314,1183,52,1/04/1964,5720
1/07/1980,AL-1:A,401,1632,62,1/04/1964,5751
1/08/1980,AL-1:A,355,1223,62,1/04/1964,5782
1/09/1980,AL-1:A,344,1004,60,1/04/1964,5812
1/10/1980,AL-1:A,283,735,48,1/04/1964,5843
1/11/1980,AL-1:A,245,929,44,1/04/1964,5873
1/12/1980,AL-1:A,346,1190,,1/04/1964,5904
1/01/1981,AL-1:A,312,1036,56,1/04/1964,5935
1/02/1981,AL-1:A,310,1180,54,1/04/1964,5963
1/03/1981,AL-1:A,235,6021,87,1/04/1964,5994
1/04/1981,AL-1:A,230,6493,90,1/04/1964,6024
1/06/1973,AL-10:A,2222,8044,18,1/06/1973,30
1/07/1973,AL-10:A,11603,28141,,1/06/1973,61
1/08/1973,AL-10:A,7773,24270,,1/06/1973,92
1/09/1973,AL-10:A,5864,17827,,1/06/1973,122
1/10/1973,AL-10:A,6658,13616,,1/06/1973,153
1/11/1973,AL-10:A,5303,10160,,1/06/1973,183
1/12/1973,AL-10:A,5167,6782,,1/06/1973,214
1/01/1974,AL-10:A,5030,7991,124,1/06/1973,245
1/02/1974,AL-10:A,4391,6402,280,1/06/1973,273
1/03/1974,AL-10:A,5798,11581,310,1/06/1973,304
1/04/1974,AL-10:A,4675,5738,420,1/06/1973,334
1/05/1974,AL-10:A,4656,6371,124,1/06/1973,365
1/06/1974,AL-10:A,4051,6720,90,1/06/1973,395
1/07/1974,AL-10:A,4159,4266,,1/06/1973,426
1/08/1974,AL-10:A,4408,7172,62,1/06/1973,457
1/09/1974,AL-10:A,3968,5986,90,1/06/1973,487
1/10/1974,AL-10:A,3251,7587,31,1/06/1973,518
1/11/1974,AL-10:A,2506,5982,150,1/06/1973,548
1/12/1974,AL-10:A,3098,7426,310,1/06/1973,579
1/01/1975,AL-10:A,3183,7791,217,1/06/1973,610
1/02/1975,AL-10:A,2368,5918,28,1/06/1973,638
1/03/1975,AL-10:A,2584,5490,124,1/06/1973,669
1/04/1975,AL-10:A,2939,5388,,1/06/1973,699
1/05/1975,AL-10:A,2696,5121,93,1/06/1973,730
1/06/1975,AL-10:A,4548,5948,168,1/06/1973,760
1/07/1975,AL-10:A,4252,6349,217,1/06/1973,791
1/08/1975,AL-10:A,4162,5775,93,1/06/1973,822
1/09/1975,AL-10:A,3429,5540,120,1/06/1973,852
1/10/1975,AL-10:A,3233,5303,145,1/06/1973,883
1/11/1975,AL-10:A,2960,5453,30,1/06/1973,913
1/12/1975,AL-10:A,2339,4703,403,1/06/1973,944
1/01/1976,AL-10:A,2928,5571,210,1/06/1973,975
1/02/1976,AL-10:A,2351,4979,192,1/06/1973,1004
1/03/1976,AL-10:A,3440,5012,155,1/06/1973,1035
1/04/1976,AL-10:A,2605,3457,130,1/06/1973,1065
1/05/1976,AL-10:A,3018,5768,310,1/06/1973,1096
1/06/1976,AL-10:A,2726,5407,120,1/06/1973,1126
1/07/1976,AL-10:A,3497,5343,,1/06/1973,1157
1/08/1976,AL-10:A,3563,4970,217,1/06/1973,1188
1/09/1976,AL-10:A,2976,6059,29,1/06/1973,1218
1/10/1976,AL-10:A,3534,6888,,1/06/1973,1249
1/11/1976,AL-10:A,2993,7025,,1/06/1973,1279
1/12/1976,AL-10:A,2739,6013,,1/06/1973,1310
1/01/1977,AL-10:A,2666,6949,,1/06/1973,1341
1/02/1977,AL-10:A,2326,7165,140,1/06/1973,1369
1/03/1977,AL-10:A,2425,7939,62,1/06/1973,1400
1/04/1977,AL-10:A,2502,6731,,1/06/1973,1430
1/05/1977,AL-10:A,1988,4066,,1/06/1973,1461
1/06/1977,AL-10:A,1258,3957,,1/06/1973,1491
1/07/1977,AL-10:A,1512,3369,69,1/06/1973,1522
1/08/1977,AL-10:A,1953,5682,120,1/06/1973,1553
1/09/1977,AL-10:A,1847,4113,,1/06/1973,1583
1/10/1977,AL-10:A,1883,4565,,1/06/1973,1614
1/11/1977,AL-10:A,1836,3620,,1/06/1973,1644
1/12/1977,AL-10:A,2037,3958,,1/06/1973,1675
1/01/1978,AL-10:A,1932,3576,,1/06/1973,1706
1/02/1978,AL-10:A,2357,5428,189,1/06/1973,1734
1/03/1978,AL-10:A,2375,5531,58,1/06/1973,1765
1/04/1978,AL-10:A,1623,4351,120,1/06/1973,1795
1/05/1978,AL-10:A,1837,5648,58,1/06/1973,1826
1/06/1978,AL-10:A,2097,3442,,1/06/1973,1856
1/07/1978,AL-10:A,2081,4120,,1/06/1973,1887
1/08/1978,AL-10:A,1596,3164,93,1/06/1973,1918
1/09/1978,AL-10:A,1304,2877,120,1/06/1973,1948
1/10/1978,AL-10:A,1410,3367,78,1/06/1973,1979
1/11/1978,AL-10:A,1628,3858,224,1/06/1973,2009
1/12/1978,AL-10:A,1267,2857,,1/06/1973,2040
1/01/1979,AL-10:A,1471,4501,,1/06/1973,2071
1/02/1979,AL-10:A,1182,2671,69,1/06/1973,2099
1/03/1979,AL-10:A,1828,4191,62,1/06/1973,2130
1/04/1979,AL-10:A,1488,3114,58,1/06/1973,2160
1/05/1979,AL-10:A,1559,3056,62,1/06/1973,2191
1/06/1979,AL-10:A,1338,3001,56,1/06/1973,2221
1/07/1979,AL-10:A,1066,1994,62,1/06/1973,2252
1/08/1979,AL-10:A,1330,2216,50,1/06/1973,2283
1/09/1979,AL-10:A,1446,2584,72,1/06/1973,2313
1/10/1979,AL-10:A,1212,2583,50,1/06/1973,2344
1/11/1979,AL-10:A,1268,3659,54,1/06/1973,2374
1/12/1979,AL-10:A,861,2009,36,1/06/1973,2405
1/01/1980,AL-10:A,938,2102,44,1/06/1973,2436
1/02/1980,AL-10:A,1676,4341,78,1/06/1973,2465
1/03/1980,AL-10:A,1198,3271,51,1/06/1973,2496
1/04/1980,AL-10:A,1428,3874,72,1/06/1973,2526
1/05/1980,AL-10:A,1834,3651,93,1/06/1973,2557
1/06/1980,AL-10:A,1692,4267,56,1/06/1973,2587
1/07/1980,AL-10:A,1918,5033,60,1/06/1973,2618
1/08/1980,AL-10:A,1335,2972,50,1/06/1973,2649
1/09/1980,AL-10:A,712,1361,38,1/06/1973,2679
1/10/1980,AL-10:A,1399,2342,50,1/06/1973,2710
1/11/1980,AL-10:A,518,1272,20,1/06/1973,2740
1/12/1980,AL-10:A,602,1331,30,1/06/1973,2771
1/01/1981,AL-10:A,1265,2166,46,1/06/1973,2802
1/02/1981,AL-10:A,1261,3290,50,1/06/1973,2830
1/03/1981,AL-10:A,1068,2454,42,1/06/1973,2861
1/04/1981,AL-10:A,1616,4952,56,1/06/1973,2891
1/05/1981,AL-10:A,1666,3765,62,1/06/1973,2922
1/06/1981,AL-10:A,1139,3564,50,1/06/1973,2952
1/07/1981,AL-10:A,1292,3582,84,1/06/1973,2983
1/08/1981,AL-10:A,901,1758,34,1/06/1973,3014
1/09/1981,AL-10:A,1006,2326,46,1/06/1973,3044
1/10/1981,AL-10:A,1148,2294,48,1/06/1973,3075
1/11/1981,AL-10:A,603,1283,26,1/06/1973,3105
1/12/1981,AL-10:A,1139,2439,136,1/06/1973,3136
1/01/1982,AL-10:A,1040,2454,136,1/06/1973,3167
1/02/1982,AL-10:A,977,1565,56,1/06/1973,3195
1/03/1982,AL-10:A,1081,1772,50,1/06/1973,3226
1/04/1982,AL-10:A,836,1361,38,1/06/1973,3256
1/05/1982,AL-10:A,746,1015,46,1/06/1973,3287
1/06/1982,AL-10:A,887,1231,48,1/06/1973,3317
1/07/1982,AL-10:A,1246,1779,72,1/06/1973,3348
1/08/1982,AL-10:A,932,1545,52,1/06/1973,3379
1/09/1982,AL-10:A,1006,1274,29,1/06/1973,3409
1/10/1982,AL-10:A,972,1330,60,1/06/1973,3440
1/11/1982,AL-10:A,1027,2380,78,1/06/1973,3470
1/12/1982,AL-10:A,782,1749,29,1/06/1973,3501
1/01/1983,AL-10:A,,,,1/06/1973,3501
1/02/1983,AL-10:A,,,,1/06/1973,3501
1/03/1983,AL-10:A,,,,1/06/1973,3501
1/04/1983,AL-10:A,,,,1/06/1973,3501
1/05/1983,AL-10:A,,,,1/06/1973,3501
1/06/1983,AL-10:A,,,,1/06/1973,3501
1/07/1983,AL-10:A,527,1265,16,1/06/1973,3532
1/08/1983,AL-10:A,779,1169,26,1/06/1973,3563
1/09/1983,AL-10:A,1323,2397,46,1/06/1973,3593
1/10/1983,AL-10:A,1317,1702,60,1/06/1973,3624
1/11/1983,AL-10:A,1612,1749,54,1/06/1973,3654
1/12/1983,AL-10:A,884,794,31,1/06/1973,3685
1/01/1984,AL-10:A,560,570,42,1/06/1973,3716
1/02/1984,AL-10:A,1128,1019,44,1/06/1973,3745
1/03/1984,AL-10:A,1136,1008,54,1/06/1973,3776
1/04/1984,AL-10:A,1451,1064,50,1/06/1973,3806
1/05/1984,AL-10:A,1658,553,52,1/06/1973,3837
1/06/1984,AL-10:A,1614,1414,54,1/06/1973,3867
1/07/1984,AL-10:A,997,1013,40,1/06/1973,3898
1/08/1984,AL-10:A,1271,1828,50,1/06/1973,3929
1/09/1984,AL-10:A,1326,2074,50,1/06/1973,3959
1/10/1984,AL-10:A,1334,2274,174,1/06/1973,3990
1/11/1984,AL-10:A,1091,2297,522,1/06/1973,4020
1/12/1984,AL-10:A,811,7509,434,1/06/1973,4051
1/01/1985,AL-10:A,850,7406,432,1/06/1973,4082
1/02/1985,AL-10:A,739,5702,468,1/06/1973,4110
1/03/1985,AL-10:A,803,1574,225,1/06/1973,4141
1/04/1985,AL-10:A,859,3003,42,1/06/1973,4171
1/05/1985,AL-10:A,1500,2072,104,1/06/1973,4202
1/06/1985,AL-10:A,974,1650,52,1/06/1973,4232
1/07/1985,AL-10:A,1290,4649,93,1/06/1973,4263
1/08/1985,AL-10:A,838,2069,319,1/06/1973,4294
1/09/1985,AL-10:A,922,3592,609,1/06/1973,4324
1/10/1985,AL-10:A,993,3747,225,1/06/1973,4355
1/11/1985,AL-10:A,1193,4092,252,1/06/1973,4385
1/12/1985,AL-10:A,774,2209,230,1/06/1973,4416
1/04/1986,AL-10:A,,,,1/06/1973,4416
1/05/1986,AL-10:A,,,,1/06/1973,4416
1/06/1986,AL-10:A,,,,1/06/1973,4416
1/07/1986,AL-10:A,,,,1/06/1973,4416
1/08/1986,AL-10:A,,,,1/06/1973,4416
1/09/1986,AL-10:A,,,,1/06/1973,4416
1/10/1986,AL-10:A,,,,1/06/1973,4416
1/11/1986,AL-10:A,,,,1/06/1973,4416
1/12/1986,AL-10:A,,,,1/06/1973,4416
1/01/1987,AL-10:A,,,,1/06/1973,4416
1/02/1987,AL-10:A,,,,1/06/1973,4416
1/03/1987,AL-10:A,,,,1/06/1973,4416
1/04/1987,AL-10:A,,,,1/06/1973,4416
1/05/1987,AL-10:A,,,,1/06/1973,4416
1/06/1987,AL-10:A,,,,1/06/1973,4416
1/07/1987,AL-10:A,,,,1/06/1973,4416
1/08/1987,AL-10:A,,,,1/06/1973,4416
1/09/1987,AL-10:A,,,,1/06/1973,4416
1/10/1987,AL-10:A,,,,1/06/1973,4416
1/11/1987,AL-10:A,,,,1/06/1973,4416
1/12/1987,AL-10:A,,,,1/06/1973,4416
1/01/1988,AL-10:A,,,,1/06/1973,4416
1/02/1988,AL-10:A,,,,1/06/1973,4416
1/03/1988,AL-10:A,,,,1/06/1973,4416
1/04/1988,AL-10:A,,,,1/06/1973,4416
1/05/1988,AL-10:A,,,,1/06/1973,4416
1/06/1988,AL-10:A,,,,1/06/1973,4416
1/07/1988,AL-10:A,,,,1/06/1973,4416
1/08/1988,AL-10:A,,,,1/06/1973,4416
1/09/1988,AL-10:A,,,,1/06/1973,4416
1/10/1988,AL-10:A,,,,1/06/1973,4416
1/11/1988,AL-10:A,,,,1/06/1973,4416
1/12/1988,AL-10:A,,,,1/06/1973,4416
1/01/1989,AL-10:A,,,,1/06/1973,4416
1/02/1989,AL-10:A,,,,1/06/1973,4416
1/03/1989,AL-10:A,,,,1/06/1973,4416
1/04/1989,AL-10:A,,,,1/06/1973,4416
1/05/1989,AL-10:A,,,,1/06/1973,4416
1/06/1989,AL-10:A,,,,1/06/1973,4416
1/07/1989,AL-10:A,,,,1/06/1973,4416
1/08/1989,AL-10:A,,,,1/06/1973,4416
1/09/1989,AL-10:A,,,,1/06/1973,4416
1/10/1989,AL-10:A,,,,1/06/1973,4416
1/11/1989,AL-10:A,,,,1/06/1973,4416
1/12/1989,AL-10:A,,,,1/06/1973,4416
1/01/1990,AL-10:A,,,,1/06/1973,4416
1/02/1990,AL-10:A,,,,1/06/1973,4416
1/03/1990,AL-10:A,,,,1/06/1973,4416
1/04/1990,AL-10:A,,,,1/06/1973,4416
1/05/1990,AL-10:A,,,,1/06/1973,4416
1/06/1990,AL-10:A,,,,1/06/1973,4416
1/07/1990,AL-10:A,,,,1/06/1973,4416
1/08/1990,AL-10:A,,,,1/06/1973,4416
1/09/1990,AL-10:A,,,,1/06/1973,4416
1/10/1990,AL-10:A,,,,1/06/1973,4416
1/11/1990,AL-10:A,,,,1/06/1973,4416
1/12/1990,AL-10:A,,,,1/06/1973,4416
1/01/1991,AL-10:A,,,,1/06/1973,4416
1/02/1991,AL-10:A,,,,1/06/1973,4416
1/03/1991,AL-10:A,,,,1/06/1973,4416
1/04/1991,AL-10:A,,,,1/06/1973,4416
1/05/1991,AL-10:A,,,,1/06/1973,4416
1/06/1991,AL-10:A,,,,1/06/1973,4416
1/07/1991,AL-10:A,,,,1/06/1973,4416
1/08/1991,AL-10:A,,,,1/06/1973,4416
1/09/1991,AL-10:A,,,,1/06/1973,4416
1/10/1991,AL-10:A,,,,1/06/1973,4416
1/11/1991,AL-10:A,,,,1/06/1973,4416
1/12/1991,AL-10:A,,,,1/06/1973,4416
1/01/1992,AL-10:A,,,,1/06/1973,4416
1/02/1992,AL-10:A,,,,1/06/1973,4416
1/03/1992,AL-10:A,,,,1/06/1973,4416
1/04/1992,AL-10:A,,,,1/06/1973,4416
1/05/1992,AL-10:A,,,,1/06/1973,4416
1/06/1992,AL-10:A,,,,1/06/1973,4416
1/07/1992,AL-10:A,,,,1/06/1973,4416
1/08/1992,AL-10:A,,,,1/06/1973,4416
1/09/1992,AL-10:A,,,,1/06/1973,4416
1/10/1992,AL-10:A,,,,1/06/1973,4416
1/11/1992,AL-10:A,,,,1/06/1973,4416
1/12/1992,AL-10:A,,,,1/06/1973,4416
1/01/1993,AL-10:A,,,,1/06/1973,4416
1/02/1993,AL-10:A,,,,1/06/1973,4416
1/03/1993,AL-10:A,,,,1/06/1973,4416
1/04/1993,AL-10:A,,,,1/06/1973,4416
1/05/1993,AL-10:A,,,,1/06/1973,4416
1/06/1993,AL-10:A,,,,1/06/1973,4416
1/07/1993,AL-10:A,,,,1/06/1973,4416
1/08/1993,AL-10:A,,,,1/06/1973,4416
1/09/1993,AL-10:A,,,,1/06/1973,4416
1/10/1993,AL-10:A,,,,1/06/1973,4416
1/11/1993,AL-10:A,,,,1/06/1973,4416
1/12/1993,AL-10:A,,,,1/06/1973,4416
1/01/1994,AL-10:A,,,,1/06/1973,4416
1/02/1994,AL-10:A,,,,1/06/1973,4416
1/03/1994,AL-10:A,,,,1/06/1973,4416
1/04/1994,AL-10:A,,,,1/06/1973,4416
1/05/1994,AL-10:A,,,,1/06/1973,4416
1/06/1994,AL-10:A,,,,1/06/1973,4416
1/07/1994,AL-10:A,,,,1/06/1973,4416
1/08/1994,AL-10:A,,,,1/06/1973,4416
1/09/1994,AL-10:A,,,,1/06/1973,4416
1/10/1994,AL-10:A,,,,1/06/1973,4416
1/11/1994,AL-10:A,,,,1/06/1973,4416
1/12/1994,AL-10:A,,,,1/06/1973,4416
1/01/1995,AL-10:A,,,,1/06/1973,4416
